,FlightNumber,PayloadMass,Flights,GridFins,Reused,Legs,Block,ReusedCount,Longitude,Latitude,outcome_type,Orbit_ES-L1,Orbit_GEO,Orbit_GTO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SO,Orbit_SSO,Orbit_VLEO,LaunchSite_CCSFS SLC 40,LaunchSite_KSC LC 39A,LaunchSite_VAFB SLC 4E
4,1,6123.547647058824,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,2,525.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,3,677.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7,4,500.0,1,0,0,0,1.0,0,-120.610829,34.632093,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,5,3170.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9,6,3325.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,7,2296.0,1,0,0,1,1.0,0,-80.577366,28.5618571,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11,8,1316.0,1,0,0,1,1.0,0,-80.577366,28.5618571,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,9,4535.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13,10,4428.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,11,2216.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15,12,2395.0,1,1,0,1,1.0,0,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
16,13,570.0,1,1,0,1,1.0,0,-80.577366,28.5618571,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,14,1898.0,1,1,0,1,1.0,0,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,15,4707.0,1,0,0,0,1.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,16,2477.0,1,1,0,1,1.0,0,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,17,2034.0,1,1,0,1,1.0,0,-80.577366,28.5618571,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,18,553.0,1,1,0,1,1.0,0,-120.610829,34.632093,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,19,5271.0,1,1,0,1,1.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23,20,3136.0,1,1,0,1,2.0,1,-80.577366,28.5618571,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24,21,4696.0,1,1,0,1,2.0,0,-80.577366,28.5618571,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,22,3100.0,1,1,0,1,2.0,1,-80.577366,28.5618571,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
26,23,2257.0,1,1,0,1,2.0,1,-80.577366,28.5618571,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
27,24,4600.0,1,1,0,1,2.0,0,-80.577366,28.5618571,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,25,5500.0,1,1,0,1,3.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
29,26,9600.0,1,1,0,1,3.0,1,-120.610829,34.632093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30,27,2490.0,1,1,0,1,3.0,1,-80.6039558,28.6080585,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,28,5600.0,1,0,0,0,3.0,0,-80.6039558,28.6080585,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,29,5300.0,2,1,1,1,2.0,1,-80.6039558,28.6080585,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,30,6123.547647058824,1,1,0,1,3.0,1,-80.6039558,28.6080585,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
34,31,6070.0,1,0,0,0,3.0,0,-80.6039558,28.6080585,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
35,32,2708.0,1,1,0,1,3.0,1,-80.6039558,28.6080585,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36,33,3669.0,2,1,1,1,3.0,1,-80.6039558,28.6080585,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
37,34,9600.0,1,1,0,1,3.0,1,-120.610829,34.632093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,35,6761.0,1,0,0,0,3.0,0,-80.6039558,28.6080585,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39,36,2910.0,1,1,0,1,4.0,1,-80.6039558,28.6080585,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
40,37,475.0,1,1,0,1,3.0,1,-120.610829,34.632093,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41,38,4990.0,1,1,0,1,4.0,1,-80.6039558,28.6080585,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
42,39,9600.0,1,1,0,1,4.0,1,-120.610829,34.632093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
43,40,5200.0,2,1,1,1,3.0,1,-80.6039558,28.6080585,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44,41,3700.0,1,1,0,1,4.0,0,-80.6039558,28.6080585,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45,42,2205.0,2,1,1,1,3.0,1,-80.577366,28.5618571,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
46,43,9600.0,2,1,1,0,3.0,1,-120.610829,34.632093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
47,44,6123.547647058824,1,1,0,1,4.0,1,-80.577366,28.5618571,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
48,45,4230.0,2,1,1,1,3.0,1,-80.577366,28.5618571,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,46,6092.0,1,1,0,1,4.0,0,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,47,9600.0,2,1,1,1,4.0,1,-120.610829,34.632093,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
51,48,2760.0,2,1,1,1,4.0,1,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
52,49,350.0,1,1,0,1,4.0,1,-80.577366,28.5618571,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
53,50,3750.0,1,1,0,1,5.0,3,-80.6039558,28.6080585,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
54,51,5383.85,2,0,1,0,4.0,1,-80.577366,28.5618571,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55,52,2410.0,2,0,1,0,4.0,1,-80.577366,28.5618571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
56,53,7076.0,1,1,0,1,5.0,2,-80.577366,28.5618571,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57,54,9600.0,1,1,0,1,5.0,4,-120.610829,34.632093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
